Text,Tag,Markers
"This isn't something you can magically do right now to help you deal with the rest of the pandemic, but as things quiet down, consider it to help build your resilience for the future.",yes,1000_5_1_20_meaningful_classif
so we can aim for individual connectomes or just general connectomes) and jump straight in to give you an accurate summary of the main projects involved and where they are at.,no,1000_5_1_20_meaningful_classif
The Quarantine Activity Calculator is a great place to start.,yes,1000_5_1_20_meaningful_classif
I recognized my own forgotten dreams in his words.,yes,1000_5_1_20_meaningful_classif
Patagonia's recent announcement states that they are shifting away from adding custom corporate logos to their vests.,yes,1000_5_1_20_meaningful_classif
"As well, the nearest timeline for an electric jet is 10 years away, and even then, we're looking at a long timeline before industry-wide adoption.",yes,1000_5_1_20_meaningful_classif
"In all, I ended up with 30+ designs, all playing off half a dozen main design themes.",yes,1000_5_1_20_meaningful_classif
"If there were a story you've told yourself since you were a kid about what you'd be when you grew up, you may find that it's different than you imagined.",yes,1000_5_1_20_meaningful_classif
Reach out if you need support in learning some new methods or understanding pedagogies to deal with your students.,yes,1000_5_1_20_meaningful_classif
"It works its way into your system, discreetly.",yes,1000_5_1_20_meaningful_classif
What's left is exploitative labor conditions.,yes,1000_5_1_20_meaningful_classif
"and also, 'Now, the sun is shining.",no,1000_5_1_20_meaningful_classif
Even doing research in the same language but in a different country can come along with some of these same advantages.,yes,1000_5_1_20_meaningful_classif
"It is essential to know what your customers are looking for, so you can target these terms (either by paid ads or by creating content) and put your website in front of their eyes.",yes,1000_5_1_20_meaningful_classif
Here are links for the first and second parts.,no,1000_5_1_20_meaningful_classif
"Over the years, many of us have learned each other's real names, contributed to fundraisers for one another, and traveled to other cities to meet up.",yes,1000_5_1_20_meaningful_classif
"For example, put all your research findings, personas and stories together in an eye-catching poster, which you can then print out and hang on the project wall.",yes,1000_5_1_20_meaningful_classif
This means you need to be able to understand it and analyse it properly.,yes,1000_5_1_20_meaningful_classif
Jeff Cherry is the founder and executive director of the startup accelerator Conscious Venture Lab and the founding managing partner of the Conscious Venture Fund.,yes,1000_5_1_20_meaningful_classif
"The point of meditation is to identify how you feel (physically and emotionally) and what you're thinking about, and then to disidentify from these thoughts and feelings by 'noting' them (becoming aware).",yes,1000_5_1_20_meaningful_classif
I'll never understand why a person feels the need to tweet out their definition of man and woman on social media.,yes,1000_5_1_20_meaningful_classif
"We suggest appointing one person, maybe yourself or someone in your team who's a particularly good writer, to turn the insights from the framework into a sentence and start the wordsmithing.",yes,1000_5_1_20_meaningful_classif
"Or are they not responsible, and what we are seeing is",no,1000_5_1_20_meaningful_classif
"Or 'manager's hotel suite shall be a minimum of 1,200 sf and painted in manly earth tones'.",yes,1000_5_1_20_meaningful_classif
It's natural to feel anger or defensiveness when faced with criticism.,yes,1000_5_1_20_meaningful_classif
"One of my favorite passages from it is the quote below because so many of my friends who read it reach out to me, saying, 'That's 100% me.",yes,1000_5_1_20_meaningful_classif
I know exactly where to look to find what I need to know.,yes,1000_5_1_20_meaningful_classif
"In practice, the risk-averse culture of public education means that school systems often stay neutral or remain silent when it comes to potentially divisive political beliefs.",yes,1000_5_1_20_meaningful_classif
Being lazy is an accomplishment for me because it means I was able to quiet my mind long enough to do nothing for a while.,yes,1000_5_1_20_meaningful_classif
He walked out onto the porch and then around to the back patio that overlooked a rather large fishing pond.,yes,1000_5_1_20_meaningful_classif
"As always, it's best to avoid coming into close contact with anyone in an at-risk group or any elderly relatives, but Smith says it's particularly important not to do so for two weeks after the trip in case you did pick something up.",yes,1000_5_1_20_meaningful_classif
What We've Learned: You know what?,no,1000_5_1_20_meaningful_classif
All that's needed is a block on all content types except for numbers and a hyphen that appears if the user tacks on a plus-four code.,yes,1000_5_1_20_meaningful_classif
It isn't much for a production-ready application but should be enough for scientific research.,yes,1000_5_1_20_meaningful_classif
Writing is self-hypnosis to Stephen King.,yes,1000_5_1_20_meaningful_classif
"I quit doing something because the progress is too slow, and a few months or years down the line",no,1000_5_1_20_meaningful_classif
Curious children often spend a great deal of time reading and acquiring knowledge because they sense a gap between what they know and what they want to know - not because they are motivated by grades.,yes,1000_5_1_20_meaningful_classif
"Training employees lead to higher productivity, reduced turnover, and alignment with the organization's needs.",yes,1000_5_1_20_meaningful_classif
I used to enjoy her class a lot.,no,1000_5_1_20_meaningful_classif
"Here you set aside 10-20 minutes where you agree to think about the issue, but only at this set time.",yes,1000_5_1_20_meaningful_classif
I'll never become a good enough writer if I don't write every day' or,no,1000_5_1_20_meaningful_classif
My intension wasn't to get known with this post or even get 10 likes.,yes,1000_5_1_20_meaningful_classif
I am looking forward to a Nintendo 64 Mini,yes,1000_5_1_20_meaningful_classif
"Over the past fifteen years, Nina Restieri and momAgenda have been featured in numerous outlets including NBC's Today show, The Early Show, MSNBC, Real Simple, Better Homes and Gardens, The New York Times, and The Huffington Post.",yes,1000_5_1_20_meaningful_classif
"Sure, smoking is bad for you, and staying hydrated is good for you -",yes,1000_5_1_20_meaningful_classif
"Like Texas, it reported more than 20,000 new results on Wednesday, the majority of them negative.",yes,1000_5_1_20_meaningful_classif
"Years later, I made colorful, extensive lists with my gel pens.",yes,1000_5_1_20_meaningful_classif
For I had received so much and what did I give back to Iran?Not once,no,1000_5_1_20_meaningful_classif
Automata exceeded all sales expectations and has become one of the most critically lauded games of the past five years.,yes,1000_5_1_20_meaningful_classif
"In an interview for the Harvard Business Review, researchers Michael Leiter and Christina Maslach explain that burnout is a workplace problem, not a worker problem.",yes,1000_5_1_20_meaningful_classif
"If there were any doubts the game tossed you into a dystopian world, it ends the moment the man on the screen begins his iconic speech:The Breencasts are no doubt iconic, but the delivery of Dr. Breen's speeches dragged on.",yes,1000_5_1_20_meaningful_classif
"As my partner and I were already in our romantic-adventurous mode, we decided to pick 'castle-route' for our drive.",yes,1000_5_1_20_meaningful_classif
"Clouds whipped past, turning the windows into blank panes displaying nothing but the fact that they were in a machine flown by a machine, two humans huddled in the center of a matryoshka of generations of technology lacquered onto itself.",yes,1000_5_1_20_meaningful_classif
The team studied how genetic alterations affected ASD development by tracking changes in how the mice communicated.,yes,1000_5_1_20_meaningful_classif
Giancarlo told me years ago. ',no,1000_5_1_20_meaningful_classif
"I believe Beauty Tech will keep growing and, consequently, the demand for UX professionals necessary to design innovative solutions to connect with beauty consumers or to create personalized products.",yes,1000_5_1_20_meaningful_classif
Lenz reinforces this idea when he states that failure is saying 'you can do better' rather than 'you lose.',yes,1000_5_1_20_meaningful_classif
Humans prefer bread-and-circuses to hard truths.,yes,1000_5_1_20_meaningful_classif
"And more generally, they have a point of view and a strong voice.",yes,1000_5_1_20_meaningful_classif
"But like I mentioned before, it is not your job to figure out anyone else's feelings.",yes,1000_5_1_20_meaningful_classif
"It was arrogant and conceited, paying for things it didn't need, like wars and mega-mansions, but not those it did.",yes,1000_5_1_20_meaningful_classif
"As well, I don't the valuation is particularly unfair.",yes,1000_5_1_20_meaningful_classif
"The last 25 years were a compilation of all my successes and failures, and the results of a lifetime of self-doubt and struggle masked by a wicked sense of humor and relentless drive to be the best.",yes,1000_5_1_20_meaningful_classif
XLNet is the most recent bi-directional contextual sentence embeddings technique at the time of this article.,yes,1000_5_1_20_meaningful_classif
She walks to the door and slides it open.,yes,1000_5_1_20_meaningful_classif
There's a difference between trying to please everyone and coming off like a judgemental jerk.,yes,1000_5_1_20_meaningful_classif
and I really need - a meditation practice.,no,1000_5_1_20_meaningful_classif
This exodus mimics that of the aforementioned U.K.-based U.S.Voter,no,1000_5_1_20_meaningful_classif
The hand is growing out of a tree that has just been potted and has a long way to go.,yes,1000_5_1_20_meaningful_classif
"A laser's OAM 'mode' corresponds to its chirality, the direction those helices twist, and how close together its twists are.",yes,1000_5_1_20_meaningful_classif
"Despite his ambitious plans, I had to pry them out, and he was humble to the end.",yes,1000_5_1_20_meaningful_classif
"I thought it would be good to continue on from my last one in this series, as planning is definitely something that has become a lot more important to my daily life the last few years, and if for nothing else, learning to finish projects is a skill in itself for some people of whom I am certainly one.",yes,1000_5_1_20_meaningful_classif
"The message behind all of this, in a way, is 'be happy with what you have' - a message that can sound peaceful and reassuring, but which may also be laced with sinister undertones",yes,1000_5_1_20_meaningful_classif
"As far as gender goes, my credential program just a handful of years ago did not equip us with the skills to inform and navigate these conversations.",yes,1000_5_1_20_meaningful_classif
I'll be breaking this down into the following sections:App tracking serves the following 4 purposes:I'll explain them quickly below.,no,1000_5_1_20_meaningful_classif
The result: he took a family love of barbecue to great heights - he had lines out the door during the first year of operation.,yes,1000_5_1_20_meaningful_classif
"If we were to estimate the rat's location at the center of the 99th time window, we would still have data about the rat's past location in the 99 first time windows.",yes,1000_5_1_20_meaningful_classif
"Martha can do thousands of transactions, and the system is cheaper and quicker than the main blockchain.",yes,1000_5_1_20_meaningful_classif
"These small actions become magnified when the conditions are right, creating positive feedback loops (or flywheels) which generate increasing return situations.",yes,1000_5_1_20_meaningful_classif
"There are several hikes laid out, ranging from a gentle 2-hour hike to a several-day tour excursion.",yes,1000_5_1_20_meaningful_classif
Some of us have diabetes or a heart condition.,yes,1000_5_1_20_meaningful_classif
The steepest section has a pull rope.,yes,1000_5_1_20_meaningful_classif
I decided to use a Node JS express server for my backend API and host it through firebase.,yes,1000_5_1_20_meaningful_classif
I visited maybe fifty times before I realized that I am the marsh and the marsh is me.,yes,1000_5_1_20_meaningful_classif
For a second...I thought he'd say yes.,no,1000_5_1_20_meaningful_classif
Most workplaces that experience difficulties attracting and retaining diverse staff are (at least on paper) compliant with the law.,yes,1000_5_1_20_meaningful_classif
The human brain can only focus for roughly two hours before it wanders.,yes,1000_5_1_20_meaningful_classif
Nature is a huge component to Scandinavian design.,yes,1000_5_1_20_meaningful_classif
"I would never deny the need to have a basic understanding of how markets function, especially when it pertains to things like genre, style, and medium of publication.",yes,1000_5_1_20_meaningful_classif
"So whether through experience-based retail, the convenience model or by simply getting your house in order through channel coherency and conversational literacy, success lies in meeting the customer in their context.",yes,1000_5_1_20_meaningful_classif
"She fluffed out the flattened parts of her Afro and turned towards Adebayo, 'Sabes que te amo, verdad?'Adebayo sat up and crossed her legs together.",no,1000_5_1_20_meaningful_classif
you see how that statement differs?,no,1000_5_1_20_meaningful_classif
Learning is a constant process that never stops.,yes,1000_5_1_20_meaningful_classif
Some guidelines I used to build out the actual values,no,1000_5_1_20_meaningful_classif
"- I'd be an impossibly beautiful, exotic creature, captivating strangers without effort while I moved about my daily life far away.",yes,1000_5_1_20_meaningful_classif
The only predictable thing about Iceland's weather is unpredictability.,yes,1000_5_1_20_meaningful_classif
"The most recent changes went in another direction, one aimed at reducing the burden of review by increasing the number of studies that are exempt, allowing some researchers to self-declare their research to be exempt, using new expedited review procedures, etc.",yes,1000_5_1_20_meaningful_classif
"If a student submitted over 100 photos, they would get an A in the class.",yes,1000_5_1_20_meaningful_classif
"That was accomplished in humans in 2006.In 2021, there's nothing special about a monkey playing Mind Pong.",yes,1000_5_1_20_meaningful_classif
It seems like they understood that us being able to see them made teaching that little bit easier for us.,yes,1000_5_1_20_meaningful_classif
"Although these problems should work themselves out over time through a combination of rising salaries and benefits ending, it's clear the problem is not as simple as throwing more tax-payer money at the problem.",yes,1000_5_1_20_meaningful_classif
"At the same time, it's a reminder of all the things lost as a result of our gain.",no,1000_5_1_20_meaningful_classif
I am speaking from the point of view of the course designer.,yes,1000_5_1_20_meaningful_classif
I Feel Love birthed a new epic era in the history of music.,yes,1000_5_1_20_meaningful_classif
"If someone has written a lightweight plugin in vanilla JavaScript, I surmised, there was no reason (other than personal edification) to continue tinkering.",yes,1000_5_1_20_meaningful_classif
Once you built it - maintaining it and protecting it is much harder.,yes,1000_5_1_20_meaningful_classif
"If so, what does it mean?The fact that we can feel real pain from strong emotions",yes,1000_5_1_20_meaningful_classif
What's the Difference Between Focus and Concentration?,yes,1000_5_1_20_meaningful_classif
"Children can become the 'container' for a parent's 'unwanted, troubling experiences [of PTSD],' according to a 2006 study published by the American Psychiatric Association.",yes,1000_5_1_20_meaningful_classif
"As you see, genetic variation data falls into P >> N limit.",yes,1000_5_1_20_meaningful_classif
"Running workflows in production: As mentioned above, the created workflows are directly executable through a web service endpoint and the adapter system allows full control over input data origin and output data destination.",yes,1000_5_1_20_meaningful_classif
"She's going to say it anyway, so I might as well get it over with.",no,1000_5_1_20_meaningful_classif
"gates intended to slow fund withdrawals have shown rather to accelerate them, as investors wish to leave before the gates come down - the so-called concrete airbag.[13]Indirectly.",no,1000_5_1_20_meaningful_classif
That's where we've got the menu.,no,1000_5_1_20_meaningful_classif
Even puppies respond to the use of their names.,yes,1000_5_1_20_meaningful_classif
"It also puts a lot of power into the hands of lesser-skilled developers and clients alike, lowering the entry barrier for creating content on the web.",yes,1000_5_1_20_meaningful_classif
"I've spent decades in therapy, yet I never progress enough to graduate.",yes,1000_5_1_20_meaningful_classif
"As lasers and detectors become more precise, they can consistently emit and distinguish between different levels of amplitude, allowing for more bits of information to be contained in the same signal.",yes,1000_5_1_20_meaningful_classif
"However, my thoughts brought me to the high school students that I design for at my current job.",yes,1000_5_1_20_meaningful_classif
Here's the example Petersen gives on that podcast,no,1000_5_1_20_meaningful_classif
It is a waste to have a wonderful website for your fashion store or tech startup,yes,1000_5_1_20_meaningful_classif
A major pain point for many of today's modern users of social networking apps are the frequent updates and changes to the UI that create frustration for the user and fragment the user experience.,yes,1000_5_1_20_meaningful_classif
There is an economic catastrophe unfolding in America.,yes,1000_5_1_20_meaningful_classif
"It is left to see will the upgraded calculations fill the gap between the theory and the experiment, or a window of some new physics has been opened.",yes,1000_5_1_20_meaningful_classif
Does Money Really 'Not Buy Happiness'?,no,1000_5_1_20_meaningful_classif
"I am saying time's up and me too and any other hashtag you give me, if it means our collective voice is louder.",yes,1000_5_1_20_meaningful_classif
"If you look for information about Sam Harris on the Internet, you will find he's the author of five New York Times bestsellers.",yes,1000_5_1_20_meaningful_classif
I break my workday up into focus sessions.,yes,1000_5_1_20_meaningful_classif
"Back out into the streets behind the Sacre-Coeur, you will find many souvenir shops, cafes, and a lot of street artists who are keen to paint your portrait for a fee.",yes,1000_5_1_20_meaningful_classif
"As the victim enters the survival stage, therapy may move in the direction of exploring prior grooming in one's family of origin.",yes,1000_5_1_20_meaningful_classif
"He had an idea of where he'd been born, somewhat vague in details, but nonetheless they began their search, to no avail.",yes,1000_5_1_20_meaningful_classif
"She didn't look up when Mike entered, but the two hardly interacted since Mike relocated to the guest room.",yes,1000_5_1_20_meaningful_classif
"It's much easier to be contrarian today, but it used to get you burned at the stake.",yes,1000_5_1_20_meaningful_classif
so you have a good idea of how much you're making and what you'll need to pay tax on.,no,1000_5_1_20_meaningful_classif
"It's a good idea to bring along some EPA-approved disinfectants to wipe down high-touch surfaces throughout your stay, but you don't necessarily need to black-light the place. '",yes,1000_5_1_20_meaningful_classif
One of the best is Deep Vellum Press.,no,1000_5_1_20_meaningful_classif
Downrange weather delays Crew-2 launchNASA delays starting contract with SpaceX for Gateway cargo servicesNelson sails through NASA administrator confirmation hearingLawmakers,no,1000_5_1_20_meaningful_classif
"By tapping to the rhythm successfully, the player character will scat sing or beat-box along to the rhythm to complete the song.",yes,1000_5_1_20_meaningful_classif
whatever currency you use to earn the credit.,no,1000_5_1_20_meaningful_classif
"It's focused on reflection, goal-setting and self-advocacy.",yes,1000_5_1_20_meaningful_classif
"However, they're not investing in a business in order to take a profit.",yes,1000_5_1_20_meaningful_classif
I'm just an initiative away from being an all-encompassing hustler.,yes,1000_5_1_20_meaningful_classif
"From 1981 to 1983, 128 out of 250 major American corporations had zero or negative taxes in at least one of the three years.",yes,1000_5_1_20_meaningful_classif
The difference here is in its version since the game is a remake of an original released in 1998.,yes,1000_5_1_20_meaningful_classif
"She was my litle cat, and she didn't put collars on her own cats.",no,1000_5_1_20_meaningful_classif
You need to understand what works and on which platform.,yes,1000_5_1_20_meaningful_classif
"Of course, the fact that the cartridge itself was gold - GOLD! - helps.",yes,1000_5_1_20_meaningful_classif
"Chris: the reigning idea of psychology that a lot of these reformers referred to said that, well, the reason why even a first grader can start to learn advanced mathematics is that advanced mathematics is structured the same way as the student's mind.",yes,1000_5_1_20_meaningful_classif
The most basic distinction among them is between 'learning theories' and 'performance theories' -,no,1000_5_1_20_meaningful_classif
"Lies and exciting features should go together in culture and art as well as language, like the way, in Carlo Collodi's The Adventures of Pinocchio, Pinocchio's nose becomes longer the more he tells lies.",yes,1000_5_1_20_meaningful_classif
"And yet, I was there, trudging along, learning something about my relationship to my writing, my father, my daughter",yes,1000_5_1_20_meaningful_classif
An uplifted mood can make the work go by more quickly or allow some happiness to seep into a normally unpleasant task.,yes,1000_5_1_20_meaningful_classif
It gets me into trouble often.,no,1000_5_1_20_meaningful_classif
"But what if we did the opposite?What if we accepted this moment - no matter how imperfect - as exactly enough?What if we accepted the 'bad' with the good, the letdowns with the lessons, the heart-wrenching with the interesting, the anxiety with the opportunity, as part of a package deal that this moment alone is offering us?What if we paused right now, and saw everything with perfect clarity?Would we live more meaningful and memorable lives in the days and weeks",yes,1000_5_1_20_meaningful_classif
"Horror titles often provide some of the most memorable and emotionally effective experiences in all of gaming, but they often get left out of the spotlight.",yes,1000_5_1_20_meaningful_classif
"A good way to bring you closer together and become more comfortable with each other is through activities, such as 20 questions, grabbing coffee or having lunch together, a game night at work, or anything that feels natural.",yes,1000_5_1_20_meaningful_classif
"this approach, there is the potential to monitor these changes over time, not only as a diagnostic, but for long-term therapeutic monitoring.",yes,1000_5_1_20_meaningful_classif
"Can you share a story about how they made an impact?Not including my awesome siblings and parents, I have been gifted with god-sent mentors including my present advisory board.",yes,1000_5_1_20_meaningful_classif
However question answering models are also very possible to implement as are NER models and both of these are currently planned features.,yes,1000_5_1_20_meaningful_classif
"If you're just experimenting with the Instagram API, you can create another account - you may have 5 accounts at a time.",yes,1000_5_1_20_meaningful_classif
"my company became profitable, I had a cousin that was starting a business.",yes,1000_5_1_20_meaningful_classif
There were a few lines I had to change,no,1000_5_1_20_meaningful_classif
"While most people think accessibility is only for people with disabilities, they are wrong.",yes,1000_5_1_20_meaningful_classif
"While the U.K. Brazil & South Africa have been battered with variants - B.1.1.7, B.1.351 & P.1 respectively, you can add B.1.617 to the list.",no,1000_5_1_20_meaningful_classif
These are just some of the startling statistics we are seeing with an unknown timeframe still left until the world returns to some kind of normal.,yes,1000_5_1_20_meaningful_classif
She never once squeezed my hand in a patronizing way and told me I was special because my synesthesia allowed me to experience so much more of the world than most others.,yes,1000_5_1_20_meaningful_classif
What else are you going to do whilst the kettle boils?,yes,1000_5_1_20_meaningful_classif
"Public education requires school systems to provide a free and appropriate public education to all students, and education cannot be appropriate if students do not know if they are free.",yes,1000_5_1_20_meaningful_classif
Here is the main question for our discussion.,no,1000_5_1_20_meaningful_classif
"More specifically, we will try to predict how well users respond to the offers made by Starbucks by making more purchases and potentially identify high spenders.",yes,1000_5_1_20_meaningful_classif
"Introducing cost estimates is a surefire way to get an early gauge of how bad the problem is, how much your customer cares about it and how off track you potentially are!Like horses for courses, the same storyboards may not necessarily work for different tiers of audience in your customer domain.",yes,1000_5_1_20_meaningful_classif
This recipe was what Douyin needed.,no,1000_5_1_20_meaningful_classif
"We can't predict what you will see or experience, but if it becomes distressing, please let us know, and we can help with that as well.",yes,1000_5_1_20_meaningful_classif
"The other issue was that the harder I tried the more tense I was, and the more difficult it was to control my hands and create a loose flow of handwriting, let alone any kind of drawing.",no,1000_5_1_20_meaningful_classif
"If you are wondering what happened, it's quite simple, a whole department of at least 50 people, put in their resignation all in one day.",yes,1000_5_1_20_meaningful_classif
"When I begin designing a product or feature, I start by asking myself how I would feel if I were the end-user. '",yes,1000_5_1_20_meaningful_classif
"We know that if it's on their calendar, then they've already blocked out time in their schedule,' she said.",yes,1000_5_1_20_meaningful_classif
"And after they arrive, he subtly takes their 'spiritual temperature,' offers a prayer before each meal, and strives to serve them as Jesus would with humility, patience and kindness.",yes,1000_5_1_20_meaningful_classif
I can't deny the lingering loss I feel from shutting out members of my family.,yes,1000_5_1_20_meaningful_classif
"(I have a couple already on the market), I want to bridge a gap between what I do for money and what I do for fulfillment.",no,1000_5_1_20_meaningful_classif
"Keep in mind that I'm not an expert chemist, so my numbers could be off even though I understand the principles at play.",yes,1000_5_1_20_meaningful_classif
and I did that because I thought that was what I was supposed to do,no,1000_5_1_20_meaningful_classif
"And that culture, of recognizing that we have power, that our phones, that our social media, that our voices, can change the world... it has, in fact, changed the world.",yes,1000_5_1_20_meaningful_classif
It's my coworkers in their late 50s and 60s who always talk about going to bars and restaurants.,yes,1000_5_1_20_meaningful_classif
"The doctor dug his fingernails into Simon's wrists, but Simon was unfazed by the pain, even as blood began to flow from the deep cuts.",yes,1000_5_1_20_meaningful_classif
