sent,type
She did not run yesterday,past_simple
They did not work last summer.,past_simple
Did they sign the contract?,past_simple
Did you wash your hands?,past_simple
That museum had a great collection of paintings,past_simple
We took evening courses,past_simple
We did not find our car,past_simple
I did not understand this question,past_simple
"did she sell her phone?

",past_simple
"did you steal this thing?
",past_simple
"I saw him five days ago
",past_simple
"They lived in England in 1999 year
",past_simple
"Нe did not swim yesterday
",past_simple
"They did not work last summer
",past_simple
"Did he call you last week?
",past_simple
"Did they buy a new car?
",past_simple
She worked abroad,past_simple
My uncle lived here,past_simple
We did not discuss,past_simple
Allen didn't want to stay,past_simple
Did you go to the post office?,past_simple
Did they come?,past_simple
Harry wrote a lot of books,past_simple
 He smiled at me,past_simple
I didn't work yesterday,past_simple
Ben didn't break the rules,past_simple
Did they forget?,past_simple
Didn't you eat yet?,past_simple
I tried my best to study English,past_simple
Sally is doing her homework at the moment,present_continuous
Dad and I are fishing now,present_continuous
It is not standing,present_continuous
They're not playing sports ,present_continuous
Are you still working at school?,present_continuous
Is he playing the guitar? ,present_continuous
You are wasting your time,present_continuous
 I am learning grammar,present_continuous
I'm not doing that,present_continuous
You're not listening,present_continuous
Are you listening to realistic songs?,present_continuous
Are you coming to our home?,present_continuous
We are making a party tonight,present_continuous
They are performing this week,present_continuous
You are not watching TV,present_continuous
I am not standing,present_continuous
Are you watching cricket on television?,present_continuous
Are you visiting your cousin this weekend?,present_continuous
Jack is talking on the phone now,present_continuous
 We are landing in Moscow in 20 minutes,present_continuous
I am not studying to become a dentist,present_continuous
I am reading the book Tom Sawyer,present_continuous
Is she laughing?,present_continuous
Are they listening to the teacher?,present_continuous
The doctor is conducting an operation,present_continuous
 She is taking a picture,present_continuous
I am not going to the party tonight,present_continuous
You are not swimming now,present_continuous
Are they coming to your party?,present_continuous
Are you listening?,present_continuous
He is reading various kinds of books,present_continuous
They are playing football now,present_continuous
They are not reading their books,present_continuous
I am not going to the party tonight,present_continuous
Is he sitting or standing?,present_continuous
Are you sleeping?,present_continuous
We are coming for shopping in this market,present_continuous
She is drinking coffee,present_continuous
Sarah isn't coming home,present_continuous
Ben isn't sitting next to us,present_continuous
"Are you working on any special projects at work?",present_continuous
Is he visiting his parents next weekend?,present_continuous
I have finished reading Hurry Potter this week,present_perfect
I have studied English since primary school,present_perfect
I have not seen my hometown for 45 years,present_perfect
They haven't seen that performance ,present_perfect
Have you seen this film?,present_perfect
 Has she come yet?,present_perfect
She has translated articles,present_perfect
 He has grown up,present_perfect
I haven't heard him for the last 3 years,present_perfect
He hasn't played the piano yet,present_perfect
Have you invited any of your friends? ,present_perfect
Has she studied hard enough?,present_perfect
The results have been published,present_perfect
I have done it!,present_perfect
She hasn't cleaned the house ,present_perfect
They haven't tried yet,present_perfect
Have we been singing for 5 years?,present_perfect
Have I been so mean before? ,present_perfect
I have already done my homework,present_perfect
our teacher has fallen ill,present_perfect
he hasn't chosen this way,present_perfect
they haven't fiished the task yet,present_perfect
Have you ever been to Australia?,present_perfect
Has he flied before? ,present_perfect
I have been to Paris,present_perfect
People have walked on the moon,present_perfect
I haven't killed anyone,present_perfect
She hasn't bought anything,present_perfect
Has he studied Latin?,present_perfect
Have they been there before? ,present_perfect
I've studied Spanish since childhood,present_perfect
I have seen that movie twenty times,present_perfect
You haven't grown since last year,present_perfect
My English hasn't really improved,present_perfect
Have you ever been in such places? ,present_perfect
Has she seen a rat there? ,present_perfect
 I have met him once before,present_perfect
People have traveled to the Moon,present_perfect
People haven't traveled to Mars,present_perfect
He hasn't started yet ,present_perfect
Have you ever met him?,present_perfect
0,present_perfect
"He goes to school every day
",present_simple
They want ice-cream,present_simple
I live in London,present_simple
I do not play,present_simple
Does he speak Spanish?,present_simple
She doesn't smoke,present_simple
I often go to the park,present_simple
Jim studies French,present_simple
The airplane takes off at 2.30 p.m.,present_simple
Do you speak English?,present_simple
He does not speak English.,present_simple
When does the train usually leave?,present_simple
She does not play tennis,present_simple
Do pigs like milk?,present_simple
"When do we board the plane?",present_simple
He needs help ,present_simple
A boy does not jump,present_simple
Does a boy jump?,present_simple
The sun rises in the east,present_simple
I have a modern laptop,present_simple
She doesn't speak Italian,present_simple
They don't buy fast food ,present_simple
Does the souvenir shop close at 18.00?,present_simple
Spiders don't frighten me.,present_simple
Do you get the bus?,present_simple
You do not write,present_simple
I never go to the cinema,present_simple
I love you,present_simple
Do you think?,present_simple
Do you like chocolate? ,present_simple
Tom cleans the car,present_simple
He has his passport in his hand,present_simple
He does not need help,present_simple
I don't like oranges,present_simple
Do you have your passport with you?,present_simple
Do you only speak English?,present_simple
It drinks milk,present_simple
Bob doesn't speak German,present_simple
Do pigs like milk?,present_simple
She likes hot dogs,present_simple
I will be sad,to_be_future
She will be 5,to_be_future
He won't be a student,to_be_future
They won't be married,to_be_future
will you be a doctor?,to_be_future
will he be teacher? ,to_be_future
We will be happy,to_be_future
They will be artists,to_be_future
I won't be 9 years old,to_be_future
They won't be there,to_be_future
will Brad Pitt be here?,to_be_future
" will she be there, too?",to_be_future
I will be 27 years old,to_be_future
You will be angry,to_be_future
They will be brave,to_be_future
Jim won't be at school,to_be_future
will he be home? ,to_be_future
will she be hot in the future?,to_be_future
He will be a journalist,to_be_future
I will be a sergeon ,to_be_future
It will be good,to_be_future
It will be here,to_be_future
will she be clever?,to_be_future
will we  be students?,to_be_future
He will be married,to_be_future
He will be sad because of that,to_be_future
They won't be glad,to_be_future
We won't be busy,to_be_future
will they be happy in the end? ,to_be_future
will he be single? ,to_be_future
We will be ready to start ,to_be_future
That will be mine,to_be_future
this will not  be a garden,to_be_future
he won't be OK,to_be_future
will that be a car?,to_be_future
will you be fine? ,to_be_future
I will be fine,to_be_future
Alice will not be crazy,to_be_future
Will they come in time?,to_be_future
It was John,to_be_past
"He was from America
",to_be_past
She wasn't Korean,to_be_past
He wasn't a murder,to_be_past
Were they happy?,to_be_past
Were you satisfied? ,to_be_past
I was sad,to_be_past
She was 15,to_be_past
He wasn't a student,to_be_past
They weren't married,to_be_past
Were you a doctor?,to_be_past
Was he a teacher? ,to_be_past
We were happy,to_be_past
They were artists,to_be_past
I wasn't hungry,to_be_past
They weren't upset.,to_be_past
Was she in England? ,to_be_past
Were they there last night? ,to_be_past
I was 27 years old,to_be_past
You were angry,to_be_past
We weren't tired last light,to_be_past
They weren't angry at you,to_be_past
Was the weather bad yesterday?,to_be_past
Was he at the party last night? ,to_be_past
He was a journalist,to_be_past
I was happy,to_be_past
she wasn't my best friend,to_be_past
we weren't very fast runners,to_be_past
was she skinny?,to_be_past
was he outgoing?,to_be_past
It was big,to_be_past
You were my friend,to_be_past
She wasn't that shy,to_be_past
They weren't guilty,to_be_past
Were you talkative at the party?,to_be_past
They were Egyptian,to_be_past
My mum was a doctor,to_be_past
He wasn't happy about it,to_be_past
They weren't strong enough,to_be_past
Were you fit? ,to_be_past
Was I a bright student? ,to_be_past
I'm Joanna,to_be_present
"I'm American
",to_be_present
She's not Korean,to_be_present
He isn't Italian,to_be_present
Are they from Australia?,to_be_present
Are you sad? ,to_be_present
I'm sad,to_be_present
She's 15,to_be_present
He isn't a student,to_be_present
They aren't married,to_be_present
Are you a doctor?,to_be_present
Is he a teacher? ,to_be_present
We're happy,to_be_present
They're artists,to_be_present
I'm not 9 years old!,to_be_present
They aren't English,to_be_present
Is Brad Pitt French?,to_be_present
" Is she American, too?",to_be_present
I'm 27 years old,to_be_present
You're angry,to_be_present
They aren't brave,to_be_present
Jim isn't here,to_be_present
Is he at home? ,to_be_present
Are they hot?,to_be_present
He's a journalist,to_be_present
I am a sergeon ,to_be_present
It isn't good,to_be_present
It isn't here,to_be_present
Is she clever?,to_be_present
Are we students?,to_be_present
You are a doctor,to_be_present
He's married,to_be_present
They aren't glad,to_be_present
We aren't busy,to_be_present
Is he single? ,to_be_present
We are ready to start ,to_be_present
That is a ball,to_be_present
this is not a phone,to_be_present
he isn't OK,to_be_present
Is that a car?,to_be_present
are you fine? ,to_be_present
I used to drink coffee every morning,used_to
She used to live in London,used_to
I didn't use to smoke,used_to
I didn't use to ride a bike to school,used_to
Did you use to ride a bike to school?,used_to
Did you use to work with Kevin Harris?,used_to
He used to play football professionally ,used_to
 I used to ride a bike to school every day,used_to
I didn't use to like her,used_to
It didn't use to be so crowded in the shops ,used_to
Did she used to live in the same street as us?,used_to
Did you play the piano?,used_to
I used to like her,used_to
You used to play the piano,used_to
I didn't used to like broccoli ,used_to
They didn't use to kill birds,used_to
DId you use to be here? ,used_to
Did they use to have a car? ,used_to
She used not to live as poorly ,used_to
He used to live in London,used_to
Jeremy didn't use to buy so much food,used_to
He didn't use to bring flashcards,used_to
Did they use to need so much money? ,used_to
Did you use to like that cat? ,used_to
Jerry used to study English,used_to
Christine used to eat meat,used_to
I didn't use to have a bike,used_to
John didn't use to fly so much ,used_to
Did you use to have so many candies? ,used_to
Did Molly use to buy coffee every day? ,used_to
I used to live in Paris,used_to
Sarah used to be fat,used_to
Kenny didn't use to be so angry,used_to
They didn't use to turn so much light ,used_to
Did he use to drive a car?,used_to
Did I use to drink so much? ,used_to
George used to be the best student in class,used_to
Cartman used to like one girl,used_to
Nelly didn't use to forget everything,used_to
Ben didn't use to be active at school ,used_to
Did they use to listen music before? ,used_to
Did she use to play any instruments? ,used_to
"Thank you so much, Chris.",other
And it's truly a great honor to have the opportunity to come to this stage twice; I'm extremely grateful.,to_be_present
"I have been blown away by this conference, and I want to thank all of you for the many nice comments about what I had to say the other night.",other
Put yourselves in my position.,can
"And I say that sincerely, partly because (Mock sob) I need that.",present_simple
I flew on Air Force Two for eight years.,future_simple
Now I have to take off my shoes or boots to get on an airplane!,can
I'll tell you one quick story to illustrate what that's been like for me.,future_simple
It's a true story every bit of this is true.,future_simple
"The very next day, continuing the totally true story, I got on a G-V to fly to Africa to make a speech in Nigeria, in the city of Lagos, on the topic of energy.",other
And I began the speech by telling them the story of what had just happened the day before in Nashville.,other
And I told it pretty much the same way I've just shared it with you:,other
"Shoney's, low-cost family restaurant chain, what the man said they laughed.",past_simple
White House we were driving from our home in Nashville to a little farm,past_simple
"I gave my speech, then went back out to the airport to fly back home.",past_simple
"I fell asleep on the plane until, during the middle of the night, we landed on the Azores Islands for refueling.",past_simple
"I woke up, they opened the door, I went out to get some fresh air, and I looked, and there was a man running across the runway.",other
Soon after Tipper and I left the (Mock sob),past_simple
we have 50 miles east of Nashville.,present_simple
"I know it sounds like a little thing to you, but I looked in the rear-view mirror and all of a sudden it just hit me.",other
There was no motorcade back there.,other
This was a rented Ford Taurus.,to_be_past
"It was dinnertime, and we started looking for a place to eat.",other
"We got to Exit 238, Lebanon, Tennessee.",past_simple
"We got off the exit, we found a Shoney's restaurant.",past_simple
"We went in and sat down at the booth, and the waitress came over, made a big commotion over Tipper.",past_simple
"She took our order, and then went to the couple in the booth next to us, and she lowered her voice so much, I had to really strain to hear what she was saying.",other
"And she said ""Yes, that's former Vice President Al Gore and his wife, Tipper.""",other
"And the man said, ""He's come down a long way, hasn't he?",other
"And I thought to myself, in the middle of the night, in the middle of the Atlantic, what in the world could be wrong in Washington?",other
Then I remembered it could be a bunch of things.,other
"But what it turned out to be, was that my staff was extremely upset because one of the wire services in Nigeria had already written a story about my speech, and it had already been printed in cities all across the United States of America.",other
"It was printed in Monterey, I checked.",to_be_past
Most of these expenditures are also profitable.,to_be_present
"And the story began, ""Former Vice President Al Gore announced in Nigeria yesterday,"" quote: '",other
"My wife Tipper and I have opened a low-cost family restaurant'"" ""'named Shoney's, and we are running it ourselves.'",other
""" Before I could get back to U.S. soil, David Letterman and Jay Leno had already started in on one of them had me in a big white chef's hat, Tipper was saying, ""One more burger with fries!""",other
We have to change the minds of the American people.,other
"Three days later, I got a nice, long, handwritten letter from my friend and partner and colleague Bill Clinton, saying, ""Congratulations on the new restaurant, Al!",other
""" We like to celebrate each other's successes in life.",present_simple
I was going to talk about information ecology.,other
"But I was thinking that, since I plan to make a lifelong habit of coming back to TED, that maybe I could talk about that another time.",other
Chris Anderson: It's a deal!,other
Al Gore: I want to focus on what many of you have said you would like me to elaborate on: What can you do about the climate crisis?,other
"I'm going to show some new images, and I'm going to recapitulate just four or five.",other
I update the slide show every time I give it.,present_simple
"Cars and trucks are very significant, and we have the lowest standards in the world.",other
"I add new images, because I learn more about it every time I give it.",present_simple
"It's like beach-combing, you know?",other
"Every time the tide comes in and out, you find some more shells.",present_simple
"Just in the last two days, we got the new temperature records in January.",past_simple
This is just for the United States of America.,to_be_present
Historical average for Januarys is 31 degrees; last month was 39.5 degrees.,other
"Now, I know that you wanted some more bad news about the environment I'm kidding.",other
"But these are the recapitulation slides, and then I'm going to go into new material about what you can do.",other
But I wanted to elaborate on a couple of these.,past_simple
"First of all, this is where we're projected to go with the U.S. contribution to global warming, under business as usual.",other
Efficiency in end-use electricity and end-use of all energy is the low-hanging fruit.,other
it's not a cost; it's a profit.,to_be_present
It's not negative; it's positive.,to_be_present
These are investments that pay for themselves.,other
But they are also very effective in deflecting our path.,to_be_present
"Cars and trucks I talked about that in the slideshow, but I want you to put it in perspective.",other
And so we should address that.,other
But it's part of the puzzle.,to_be_present
Other transportation efficiency is as important as cars and trucks.,to_be_present
Renewables at the current levels of technological efficiency can make this much difference.,other
"And with what Vinod, and John Doerr and others, many of you here there are a lot of people directly involved in this this wedge is going to grow much more rapidly than the current projection shows it.",other
Carbon Capture and Sequestration that's what CCS stands for is likely to become the killer app that will enable us to continue to use fossil fuels in a way that is safe.,other
"Now, what can you do?",other
Reduce emissions in your home.,other
Buy green electricity where you can.,other
I mentioned automobiles buy a hybrid.,past_simple
Figure out some of the other options that are much better.,other
"You have choices with everything you buy, between things that have a harsh effect, or a much less harsh effect on the global climate crisis.",other
Make a decision to live a carbon-neutral life.,other
"Because presently, the politicians do not have permission to do what needs to be done.",other
"Those of you who are good at branding, I'd love to get your advice and help on how to say this in a way that connects with the most people.",other
It is easier than you think.,to_be_present
"A lot of us in here have made that decision, and it is really pretty easy.",other
"It means reduce your carbon dioxide emissions with the full range of choices that you make, and then purchase or acquire offsets for the remainder that you have not completely reduced.",other
And what it means is elaborated at climatecrisis.net.,other
There is a carbon calculator.,to_be_present
"Participant Productions convened with my active involvement the leading software writers in the world, on this arcane science of carbon calculation, to construct a consumer-friendly carbon calculator.",other
"You can very precisely calculate what your CO2 emissions are, and then you will be given options to reduce.",other
"And by the time the movie comes out in May, this will be updated to 2.0, and we will have click-through purchases of offsets.",other
"Next, consider making your business carbon-neutral.",other
"Again, some of us have done that, and it's not as hard as you think.",other
"Integrate climate solutions into all of your innovations, whether you are from the technology, or entertainment, or design and architecture community.",other
"Listen, if you have invested money with managers who you compensate on the basis of their annual performance, don't ever again complain about quarterly report CEO management.",other
"Over time, people do what you pay them to do.",present_simple
"And if they judge how much they're going to get paid on your capital that they've invested, based on the short-term returns, you're going to get short-term decisions.",other
A lot more to be said about that.,other
Become a catalyst of change.,other
"Teach others, learn about it, talk about it.",other
"The movie is a movie version of the slideshow I gave two nights ago, except it's a lot more entertaining.",other
And it comes out in May.,present_simple
Many of you here have the opportunity to ensure that a lot of people see it.,other
Consider sending somebody to Nashville.,other
"And I am personally going to train people to give this slideshow re-purposed, with some of the personal stories obviously replaced with a generic approach, and it's not just the slides, it's what they mean.",other
And it's how they link together.,present_simple
"And so I'm going to be conducting a course this summer for a group of people that are nominated by different folks to come and then give it en masse, in communities all across the country, and we're going to update the slideshow for all of them every single week, to keep it right on the cutting edge.",other
"Working with Larry Lessig, it will be, somewhere in that process, posted with tools and limited-use copyrights, so that young people can remix it and do it in their own way.",other
Where did anybody get the idea that you ought to stay arm's length from politics?,other
"It doesn't mean that if you're a Republican, that I'm trying to convince you to be a Democrat.",other
We need Republicans as well.,present_simple
"This used to be a bipartisan issue, and I know that in this group it really is.",other
Make our democracy work the way it's supposed to work.,other
Support the idea of capping carbon dioxide emissions global warming pollution and trading it.,other
"Here's why: as long as the United States is out of the world system, it's not a closed system.",other
"Once it becomes a closed system, with U.S. participation, then everybody who's on a board of directors how many people here serve on the board of directors of a corporation?",other
"Once it's a closed system, you will have legal liability if you do not urge your CEO to get the maximum income from reducing and trading the carbon emissions that can be avoided.",other
The market will work to solve this problem if we can accomplish this.,other
Help with the mass persuasion campaign that will start this spring.,other
"And in our modern country, the role of logic and reason no longer includes mediating between wealth and power the way it once did.",other
"It's now repetition of short, hot-button, 30-second, 28-second television ads.",other
We have to buy a lot of those ads.,other
"Let's re-brand global warming, as many of you have suggested.",other
"I like ""climate crisis"" instead of ""climate collapse,"" but again, those of you who are good at branding, I need your help on this.",other
"Somebody said the test we're facing now, a scientist told me, is whether the combination of an opposable thumb and a neocortex is a viable combination.",other
"I said the other night, and I'll repeat now:",other
this is not a political issue.,other
"Again, the Republicans here this shouldn't be partisan.",other
You have more influence than some of us who are Democrats do.,other
"Not just this, but connected to the ideas that are here, to bring more coherence to them.",other
"Thank you very much, I appreciate it.",other
"In terms of invention, I'd like to tell you the tale of one of my favorite projects.",other
"I think it's one of the most exciting that I'm working on, but I think it's also the simplest.",other
It's a project that has the potential to make a huge impact around the world.,other
"It addresses one of the biggest health issues on the planet, the number one cause of death in children under five.",other
It's breathing the smoke from indoor cooking fires acute respiratory infections caused by this.,other
I find this shocking and somewhat appalling.,present_simple
Can't we make cleaner burning cooking fuels?,other
Can't we make better stoves?,other
How is it that this can lead to over two million deaths every year?,other
"I know Bill Joy was talking to you about the wonders of carbon nanotubes, so I'm going to talk to you about the wonders of carbon macro-tubes, which is charcoal.",other
So this is a picture of rural Haiti.,to_be_present
Haiti is now 98 percent deforested.,to_be_present
You'll see scenes like this all over the island.,future_simple
It leads to all sorts of environmental problems and problems that affect people throughout the nation.,present_simple
A couple years ago there was severe flooding that led to thousands of deaths that's directly attributable to the fact that there are no trees on the hills to stabilize the soil.,other
So the rains come they go down the rivers and the flooding happens.,present_simple
"Now one of the reasons why there are so few trees is this: people need to cook, and they harvest wood and they make charcoal in order to do it.",other
It's not that people are ignorant to the environmental damage.,to_be_present
"They know perfectly well, but they have no other choice.",present_simple
"Fossil fuels are not available, and solar energy doesn't cook the way that they like their food prepared.",other
And so this is what they do.,other
"You'll find families like this who go out into the forest to find a tree, cut it down and make charcoal out of it.",other
"So not surprisingly, there's a lot of effort that's been done to look at alternative cooking fuels.",other
"About four years ago, I took a team of students down to Haiti",past_simple
and we worked with Peace Corps,other
This is one such volunteer and this is a device that he had built in the village where he worked.,other
And the idea was that you could take waste paper; you could compress it and make briquettes that could be used for fuel.,other
But this device was very slow.,to_be_past
"So our engineering students went to work on it and with some very simple changes, they were able to triple the throughput of this device.",other
We went down to Haiti.,past_simple
So you could imagine they were very excited about it.,could
And they took the briquettes back to MIT so that they could test them.,other
And one of the things that they found was they didn't burn.,other
So it was a little discouraging to the students.,to_be_past
"And in fact, if you look closely, right here you can see it says, ""US Peace Corps.",other
""" As it turns out, there actually wasn't any waste paper in this village.",other
"And while it was a good use of government paperwork for this volunteer to bring it back with him to his village, it was 800 kilometers away.",other
And so we thought perhaps there might be a better way to come up with an alternative cooking fuel.,other
What we wanted to do is we wanted to make a fuel that used something that was readily available on the local level.,other
You see these all over Haiti as well.,present_simple
"And the waste product from them after you extract the juice from the sugarcane is called ""bagasse.",other
""" It has no other use.",other
"It has no nutritional value, so they don't feed it to the animals.",other
It just sits in a pile near the sugar mill until eventually they burn it.,present_simple
"What we wanted to do was we wanted to find a way to harness this waste resource and turn it into a fuel that would be something that people could easily cook with, something like charcoal.",other
"So over the next couple of years, students and I worked to develop a process.",past_simple
"So you start with the bagasse, and then you take a very simple kiln that you can make out of a waste fifty five-gallon oil drum.",other
"After some time, after setting it on fire, you seal it to restrict the oxygen that goes into the kiln, and then you end up with this carbonized material here.",other
"However, you can't burn this.",can
It's too fine and it burns too quickly to be useful for cooking.,other
So we had to try to find a way to form it into useful briquettes.,other
"And conveniently, one of my students was from Ghana, and he remembered a dish his mom used to make for him called ""kokonte,"" which is a very sticky porridge made out of the cassava root.",other
"And so what we did was we looked, and we found that cassava is indeed grown in Haiti, under the name of ""manioc.""",other
"In fact, it's grown all over the world yucca, tapioca, manioc, cassava, it's all the same thing a very starchy root vegetable.",other
"And you can make a very thick, sticky porridge out of it, which you can use to bind together the charcoal briquettes.",can
"These are the graduates of the first Ecole de Charbon, or Charcoal Institute.",other
So I'm actually an instructor at MIT as well as CIT.,to_be_present
And these are the briquettes that we made.,to_be_present
Now I'm going to take you to a different continent.,other
This is India and this is the most commonly used cooking fuel in India.,to_be_present
"And more than in Haiti, this produces really smoky fires, and this is where you see the health impacts of cooking with cow dung and biomass as a fuel.",other
"Kids and women are especially affected by it, because they're the ones who are around the cooking fires.",other
So we wanted to see if we could introduce this charcoal-making technology there.,other
"Well, unfortunately, they didn't have sugarcane and they didn't have cassava, but that didn't stop us.",past_simple
What we did was we found what were the locally available sources of biomass.,past_simple
And there was wheat straw,other
and there was rice straw in this area.,other
"And what we could use as a binder was actually small amounts of cow manure, which they used ordinarily for their fuel.",other
"And we did side-by-side tests, and here you can see the charcoal briquettes and here the cow dung.",other
And you can see that it's a lot cleaner burning of a cooking fuel.,other
"And in fact, it heats the water a lot more quickly.",present_simple
"And so we were very happy, thus far.",to_be_past
"But one of the things that we found was when we did side-by-side comparisons with wood charcoal, it didn't burn as long.",other
I am ten years old.,to_be_present
I live in Moscow with my family.,present_simple
My mother is a doctor.,to_be_present
"My father, whose name is Victor, is a vet.",other
We like to spend our free time together walking in Moscow parks.,present_simple
Last weekend we went to Sokolniki Park.,past_simple
The weather wasn't warm but we had a great time.,other
After that we drank tea in a cafe.,past_simple
This weekend we are going to the Puppet Theatre.,other
I think Moscow is a very interesting place.,other
"Dear Friend, My name is David.",to_be_present
"I live with my mother, my father, my sister Mary and my grandparents.",present_simple
I like to read books and play with my toys.,present_simple
My favourite sport is football.,to_be_present
I hope to get a letter from you soon.,present_simple
He read books and watched films about cars.,other
"So one day Alex told his parents, ""Please, please, please, could you help me?",other
He went to his uncle's garage and looked at his car.,past_simple
He wanted to have a car very much!,past_simple
"I want to build a car!""",other
"""No,"" said Alex's mom, ""You can't build a car.",other
"""No,"" said Alex's dad, ""You can't build a car.",other
He wanted a fast red sports car!,past_simple
So Alex bought some books and started reading about how people build cars.,other
His uncle showed him how his car worked.,past_simple
Then Alex started building his own car!,past_simple
It was very interesting and he had a lot of fun.,other
He wanted to tell his parents about it,past_simple
They didn't want to talk about cars.,past_simple
"After two months, Alex asked his parents to go to the garage with him.",past_simple
In the garage Alex's parents saw a red car.,past_simple
It was a toy sports car!,to_be_past
Alex could sit in it and drive it.,could
Alex's parents were very happy and surprised.,to_be_past
"Alex's mom said: ""It's a beautiful car!""",other
"Alex's dad said: ""It's so big!""",other
Alex smiled and drove to the park.,past_simple
Last August Becky visited Aunt Agatha.,past_simple
She lives in a house on the beach.,present_simple
It was a beautiful summer day.,to_be_past
Becky built a very big sand castle that morning.,past_simple
Aunt Agatha took pictures of the castle to send to Becky's parents.,past_simple
I like playing basketball and soccer.,present_simple
"I also play tennis, and I like swimming.",other
