a1_comparative_exept,a1_comparative_long,a1_comparative_short,a1_have_has_got,a1_possessive_s_plurar,a1_special_questions,a1_superlative_exept,a1_superlative_long,a1_superlative_short,a1_there_is_am_are,a1_there_was_were,a1_there_will_be,a1_to_be_future_will_be,a1_want_would_like_to
"Darian stirred, pushing himself farther into the corner.",That film was less interesting than the last one I saw.,Russia is larger than Mexico.,Have you got everything you need?,All of the books’ pages are ruined.,What trees grow in your garden?,This is the worst weather in December since records began!,These are my most comfortable trousers.,Everest is the highest mountain in the world.,There's only one chocolate bar left in the box.,There were 7 fish in the fish tank.,"If that happens, there will be flames.",It will be updated as necessary.,He wants me out in Jersey.
It was on one of these occasions that she wandered farther than she realized.,I'm more intelligent than he is.,I think Lisa is shorter than Pam.,Have we got any red chilli peppers at home?,The women’s shoes are very expensive.,What is his favourite subject?,Leeds is one of the furthest big cities from London.,Switzerland is the most expensive country in Europe.,I have three sisters: Jan is the oldest and Angela is the youngest. ,There are nine cats on the roof.,There wasn’t any money in the bank.,And there will be no fourth.,Funding will be the major challenge in the years ahead and the timely allotment of monies will be critical to effective action.,And he wants everybody to lay low.
"Farther and farther he rode away, stopping at other regiments, till at last only his white plumes were visible to Rostov from amid the suites that surrounded the Emperors.",A rose is more beautiful than a daisy.,The cat is smaller than the dog.,I have got a new car.,All of the books’ pages are ruined.,Who gave him a present?,"Simon has done the least work in the whole team, but has got all the credit!",He’s the most hard-working student I’ve ever taught.,She is one of the politest people I have ever met.,There are only five weeks until my birthday.,There wasn’t a christmas tree in the living room.,She says there will be no more secrets on Starship UK.,Two of them will be East Timorese and three will be internationally recognized electoral experts.,Bianca wants everything to stay the same.
The assistant asked some further questions.,Learning Japanese is more difficult than learning Italian.,"When you hire people who are smarter than you are, you prove you are smarter than they are.",They have got two beautiful children.,The tables’ legs were all wobbly and needed repair.,Who is your favourite actor?,This is the worst day of my life!,It was the most interesting film we’d seen this year.,This bowl is the biggest one.,There’s three other people who are still to come.,There wasn’t a black chair in the store.,"Next time you come, there will be.","By the time it will be ready, you will be landing in Heathrow.",Maybe Jorge would like some ham.
He offered no further information and she felt uncomfortable about asking.,This book is more boring than the last one.,Julia is taller than her friend.,We’ve got pizza for dinner.,People are prepared to pay high prices for designers’ clothes.,When are you leaving?,What we anticipate seldom occurs; what we least expected generally happens. ,Mauritius is one of the most popular honeymoon destinations.,The runt of the litter is the smallest.,There’s lots of cars in the car park.,There weren’t many options available to us.,Yes and there will be a large commission.,"These products will be widely disseminated and will be available electronically, via the Internet.","I just wanted someone, He would like."
Betsy took his hand and we moved further down the sidewalk.,I need to buy a more modern phone.,The Amazon River is longer than the Seine.,We’ve got a house in Vancouver.,The children’s clothes were brand new.,Whose phone rang?,Pearl is the worst behaved dolphin in the project's history.,Science is the most boring class that I take at school.,Jupiter is the biggest planet in our solar system.,Is there anybody at home?,There weren’t many movies to watch online.,She says there will be no more secrets on Starship UK.,"Someday TV will be invented, and it will be free.",We would like you to tutor our daughter.
Len walked further into the room.,The shops are always more crowded just before Christmas.,His house is smaller than his mother’s apartment.,Have you got a minute?,The students' success was largely attributable to their hard work and dedication.,What kind of city is St. Petersburg? ,The best defense against the atom bomb is not to be there when it goes off. ,"The most exciting phrase to hear in science, the one that heralds new discoveries, is not ""Eureka!"" but ""That's funny."" ",She is the smartest girl in our class.,Are there any cats on the floor?,There weren’t any fans in the store.,"Next time you come, there will be.",The scan will be this afternoon and sentence will be at midnight tonight.,He would like three men killed.
"In the week that followed, they drifted further apart.",My sister is much more intelligent than me,Nick is taller than Mike.,Mike hasn’t got any brothers.,"Bill and Mary's car was a lemon, leading them to seek rescission of their contract under the state's lemon law.",Whose photo album is this?,I bought the least expensive souvenir that I could find.,This is the most rapid method of delivery.,I am the shortest person in my family.,How many cats are there on the couch?,There weren’t any improvements in 2019.,"Therefore, there will be no jail time served.",Detailed information will be available shortly on the OECD website and invitations will be sent out.,He wouldn't like the answer.
Finding the most effective sources remained less than satisfactory.,Russian grammar is more difficult than English grammar.,The teacher is nicer than the principal.,Has your sister got long hair?,"Joanne's and Todd's cars were bought from the same dealer; both proved useless, even though Joanne's car was an import and Todd's was a domestic model.",Where is my photo?,That was the best birthday present ever!,Those were the least comfortable couches I have ever sat on.,Mount Everest is the highest mountain in the world.,How much water is there in the bottle?,There weren’t any attempts to fix the problem.,"Therefore, there will be no significant difference between the legal and economic characterization for this type of contract.",Then she won't be fine.,"Well, I probably wouldn't like him."
"Alex spoke from behind her, his tone less than friendly.","The older you get, the more irritating you become.",She is lazier than her younger sister.,She hasn’t got a headache anymore.,The car in question was Roger Weiss's red convertible.,When will we go to the cinema?,The furthest point from land is known as Point Nemo.,It is turning out to be the most beautiful day of my life.,She is the smartest girl in our class.,What is there in the box?,Was there a man standing here?,Therefore it is expected that there will be minimal costs associated with disposal of unusable stocks.,They won't be watching the roads.,He wouldn't like us going to his basement.
"A competing company decides to make an up-front investment and build a new factory in a distant land, high in the mountains where residents who choose to live there have less economic opportunity.",I find maths lessons more enjoyable than science lessons.,Greg is happier than me.,We have got many good movies.,The species' status was changed to endangered.,What music do you like?,You're the best mother in the world!,Going on a safari was the most adventurous vacation Claudia experienced over the summer.,Hannah is the tallest person in her family.,How many dogs are there in the park?,Was there a soccer player in the hotel?,"Monday, there will be a new addition to the Frasier Crane radio family.","Besides, I reckon Jackson won't be too friendly tonight.",I wouldn't like to be the woman you cut in half.
Less than a week later she passed another milestone.,You are more polite than Joey.,This babysitter is crazier than the previous one.,My sister has not got dog.,"The house on the left is the Smiths’, but the house at the end of the street is the Whites’.",Which of the trains goes to London?,"Mama, who has the most worms?",This is the least expensive phone in the store.,Grapefruit is the healthiest fruit.,How many horror movies are there in your collection?,Were there two police officers at the station?,"Rest assured, there will be no caterwauling today.",She won't be a bother much longer.,"I wouldn't like that, and neither would my daughter."
Italian food is better than American food.,This car is more expensive than my last one.,That car is bigger than this one.,Have they got a new house?,The brothers' feet were muddy.,What have you done?,Janet is the best at math.,This is the least popular park in Toluca.,You have the biggest desk in the whole office.,How many students are there in your class?,Were there many people working in the bank?,I'm sure there will be other offers.,She won't be with us for very long.,I don't want any special treatment.
My mother's cooking is worse than your mother's cooking.,"This car is certainly better, but it's much more expensive.",Florida is hotter than Colorado.,You’ve got a high temperature.,The horses' hay is damp.,How far will she go?,Pluto is the farthest planet in the solar system. ,This is the least expensive sweater in the store.,Our package deal to Spain was by far the cheapest holiday I’ve ever been on!,There is no money in the wallet. ,Were there many police officers around here?,We fear that there will be a major decline fish stocks as a result.,They won't be white and they won't be oriental.,I don't want a producer editing what he says.
"Think no more about it, he said.","The faster you drive, the more dangerous it is.",The men are taller than the women.,Have you still got a bad headache?,The fairies' wings glistened in the moonlight. ,How long will it take?,This was the worst movie I have ever seen. ,My grandpa is the most careful person I have ever met. ,Sarah is the cleverest student in our year. ,There aren't any people at the party.,Were there many things to do?,"Outside of client hospitality, there will be no drinking in the office",It won't be open tomorrow.,Plus you don't want me anymore.
This weekend looks worse than we thought.,"Who is more famous, Lady Gaga or Madonna?",These shoes are cheaper than the blue ones.,Have you got any time to help me with my maths homework?,The women's toilets are out of bounds.,What are you doing?,They have the best burger in the world. ,This is the most difficult test I have ever taken. ,He is the angriest man I have ever seen met!,There isn't any sugar in my coffee.,Was there a great depressions 100 years ago?,Which means there will be some soon.,I won't be responsible for any more violence.,You don't want me to free vera.
"The case is this: my father's health is growing noticeably worse, he cannot stand any contradiction and is becoming irritable.",The manager wants to be more popular than the previous one.,I’m shorter than my brother. ,Have you got a sore throat as well as a runny nose?,All television is children's television. ,Where were you last night? ,John lives the farthest. ,You have the most beautiful eyes in the family! ,That is the cutest dog I’ve ever seen!,There's a good movie on channel 2. ,Was there a soccer player in the hotel?,"Consequently, there will be an increase in associated activities and resources requirements.",You won't be around long.,And she doesn't want contact with me.
During this halt the escort treated the prisoners even worse than they had done at the start.,Arabic is more difficult than Russian.,She is more inquisitive than her sister.,"Have you got a new car, Paul?",Zeus does not bring all men's plans to fulfilment.,What should I eat for lunch?,John’s test score was the worst in our class.,The second book is the most interesting of the trilogy.,That was the fastest journey I’ve ever been on.,There are a lot of rules at the airport.,Were there a lot of people at the party?,"So, tell her there will be a truce.","We won't be safe, Fermín.",He doesn't want to settle.
Some might say something I consider even worse: It is inexcusable that some go hungry while you have so much., This morning is more peaceful than yesterday morning.,"Jim and Jack are both my friends, but Jack is friendlier.","Sue’s got her own bedroom, but neither Debbie nor I have.",The players' privileges have been removed. ,Why has he eaten this? ,John’s test score was the best in our class. ,It is the most expensive piece of clothing I have ever bought.  ,"Apparently, Americans are some the funniest people in the world.",There isn’t a stadium in the town.,Was there any water left?,"If we don't act, there will be a war.",Your colt won't be visible.,Someone doesn't want you to remember.
